question_concept_id,responce_concpet_id,Question,Response removed due to invalid value,q_cnt_before,a_cnt_before,ev_prop_before,q_pt_before,a_pt_before,pt_prop_before,q_cnt_after,a_cnt_after,ev_prop_after,q_pt_after,a_pt_after,pt_prop_after,ev_after_to_before_prop_diff,pt_after_to_before_prop_diff
1333156,45877994,Do you think you have had COVID-19?,Yes,903,36,0.03986711,556,32,0.057553957,4477,2015,0.450078177,2051,1260,0.614334471,0.410211067,0.556780514
1332763,1333320,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.","Yes, known COVID-19",912,100,0.109649123,556,84,0.151079137,4709,1785,0.379061372,2051,1127,0.549488055,0.269412249,0.398408918
1333325,45877994,"In the past month, have you been sick for more than one day with a new illness related to COVID-19 or flu-like symptoms?",Yes,903,30,0.033222591,556,29,0.052158273,4477,885,0.197677016,2051,767,0.37396392,0.164454425,0.321805647
1332847,1333170,"In the past month, have the following behaviors increased in your household? Select all that apply.","None of the above (if selected, no other response options are available",1066,340,0.318949343,556,250,0.449640288,5273,2509,0.475820216,2051,1383,0.674305217,0.156870873,0.224664929
1333294,1333170,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.","None of the above (if selected, no other response options are available",1001,465,0.464535465,556,331,0.595323741,4954,3382,0.682680662,2051,1673,0.815699659,0.218145197,0.220375918
1310142,702690,Do you plan to get the flu vaccine this season?,"No, I received it more than a month ago",48,22,0.458333333,39,16,0.41025641,1655,897,0.541993958,1187,686,0.577927548,0.083660625,0.167671138
1333297,45877994,Do you personally know someone who has died of COVID-19?,Yes,311,76,0.24437299,250,64,0.256,3550,1228,0.345915493,1855,776,0.418328841,0.101542503,0.162328841
1333291,1333339,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Was not able to work due to COVID-19 related illness,1269,27,0.021276596,556,26,0.04676259,6392,497,0.077753442,2051,374,0.182350073,0.056476846,0.135587483
1310132,45880190,"When a COVID-19 vaccine is available, how likely are you to want to receive vaccination?",Very likely,112,51,0.455357143,83,37,0.445783133,2535,1316,0.51913215,1553,901,0.580167418,0.063775007,0.134384285
1332748,1332864,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",A few days (1-2 days),903,227,0.251384275,556,186,0.334532374,4477,1347,0.300871119,2051,934,0.455387616,0.049486844,0.120855242
903631,NA,How much time did you usually spend doing vigorous physical activities on one of those days (minutes per day)?,NA,285,180,0.631578947,215,145,0.674418605,517,381,0.736943907,392,308,0.785714286,0.10536496,0.111295681
1333291,1333170,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.","None of the above (if selected, no other response options are available",1269,214,0.168636722,556,168,0.302158273,6392,1491,0.233260325,2051,843,0.411019015,0.064623603,0.108860742
1332763,1333304,"Have you EVER been near someone that you know, or suspect, had COVID-19 (such as co-workers, family members, or others)? Select all that apply.","Yes, suspected COVID-19",912,79,0.086622807,556,68,0.122302158,4709,594,0.126141431,2051,472,0.230131643,0.039518624,0.107829485
1333104,1333199,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Contacting a healthcare provider,3062,108,0.035271065,556,92,0.165467626,14772,784,0.053073382,2051,553,0.269624573,0.017802317,0.104156947
1310052,45883772,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home. How often did you wear a face mask or face covering?",All of the time,43,20,0.465116279,36,18,0.5,1241,663,0.534246575,845,503,0.595266272,0.069130296,0.095266272
1333102,45883172,"In the past month, have recommendations for socially distancing caused stress for you?",Not at all,903,248,0.274640089,556,177,0.318345324,4477,1353,0.302211302,2051,841,0.410043881,0.027571213,0.091698557
1332735,1333148,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of LESS than 10 people.",None of the days (0 days),887,508,0.572717024,552,371,0.672101449,4043,2553,0.631461786,1937,1474,0.760970573,0.058744762,0.088869124
903629,NA,How much time did you usually spend doing moderate physical activities on one of those those days (minutes per day)?,NA,426,284,0.666666667,302,211,0.698675497,790,589,0.74556962,580,456,0.786206897,0.078902953,0.0875314
1333104,1332761,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Delaying medical care for conditions other than COVID-19,3062,38,0.012410189,556,37,0.066546763,14772,411,0.027822908,2051,313,0.152608484,0.015412719,0.086061721
1333301,1333148,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",None of the days (0 days),903,392,0.434108527,556,295,0.53057554,4477,2086,0.465937011,2051,1255,0.611896636,0.031828484,0.081321096
1333105,45881677,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",Every day,887,90,0.101465614,552,72,0.130434783,4043,602,0.148899332,1937,404,0.208569954,0.047433718,0.078135171
1332826,1332791,Do you think you have used more or less prescription sedatives or prescription sleeping pills in the past month than you used to?,The same as usual,73,42,0.575342466,52,32,0.615384615,126,81,0.642857143,90,62,0.688888889,0.067514677,0.073504274
1333300,1333232,"Now, thinking about the COVID-19 recommendations and mandates...How often in the past month are you doing the recommended pandemic hygiene?",Most of the time; I try my best,903,279,0.3089701,556,197,0.354316547,4477,1430,0.319410319,2051,876,0.427108727,0.010440219,0.07279218
1333104,1333170,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","None of the above (if selected, no other response options are available",3062,32,0.010450686,556,27,0.048561151,14772,309,0.020917953,2051,247,0.120429059,0.010467267,0.071867908
1332748,1333148,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",None of the days (0 days),903,142,0.157253599,556,107,0.192446043,4477,765,0.170873353,2051,538,0.262311068,0.013619754,0.069865025
903630,NA,How much time did you usually spend walking on one of those days (minutes per day)?,NA,627,445,0.709728868,432,319,0.738425926,1192,907,0.76090604,822,662,0.805352798,0.051177172,0.066926872
1333023,NA,Think of other people who live with you. How many are under the age of 18 years?,NA,676,597,0.883136095,431,387,0.897911833,3458,3206,0.927125506,1646,1582,0.961117861,0.043989411,0.063206028
1333013,1332727,How often did you use cannabis?,Only a few times,68,22,0.323529412,52,19,0.365384615,115,43,0.373913043,84,36,0.428571429,0.050383631,0.063186814
1333301,1332864,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",A few days (1-2 days),903,155,0.171650055,556,124,0.223021583,4477,808,0.180477999,2051,582,0.283764018,0.008827944,0.060742435
1333105,1332864,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",A few days (1-2 days),887,117,0.131905299,552,97,0.175724638,4043,627,0.155082859,1937,456,0.235415591,0.02317756,0.059690953
1333105,1333306,"Thinking about your current social habits, in the last 5 days: I have gone to my workplace or volunteer site that is outside my home.",Most days (3-4 days),887,110,0.124013529,552,95,0.172101449,4043,665,0.16448182,1937,445,0.229736706,0.040468291,0.057635257
1310134,1333148,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings of MORE than 50 people.",None of the days (0 days),96,84,0.875,73,65,0.890410959,2502,2335,0.933253397,1538,1456,0.946684005,0.058253397,0.056273046
1310133,1310090,"If you know it, what is your blood group?",I don't know my blood group for certain,112,26,0.232142857,83,21,0.253012048,2936,808,0.27520436,1689,512,0.303137951,0.043061503,0.050125903
1333102,45876949,"In the past month, have recommendations for socially distancing caused stress for you?",A little,903,312,0.34551495,556,246,0.442446043,4477,1557,0.34777753,2051,1006,0.490492443,0.00226258,0.0480464
903634,NA,How much time did you usually spend doing moderate physical activities on one of those days (hours per day)?,NA,209,107,0.511961722,209,107,0.511961722,263,147,0.558935361,263,147,0.558935361,0.046973639,0.046973639
1332738,1332864,"Thinking about your current social habits, in the last 5 days: I have gone on shopping trips or outings that were ""just for fun"".",A few days (1-2 days),887,226,0.254791432,552,185,0.335144928,4043,1031,0.255008657,1937,735,0.379452762,0.000217225,0.044307834
1333102,45883539,"In the past month, have recommendations for socially distancing caused stress for you?",A lot,903,74,0.081949059,556,67,0.120503597,4477,431,0.096269824,2051,338,0.16479766,0.014320765,0.044294063
1333291,1333138,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Worked more hours than usual,1269,132,0.104018913,556,91,0.163669065,6392,683,0.106852315,2051,426,0.207703559,0.002833402,0.044034494
1333119,1333239,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",Somewhat less than normal,903,143,0.158361019,556,116,0.208633094,4477,695,0.155237883,2051,518,0.252559727,-0.003123136,0.043926633
1332748,45881677,"Thinking about your current social habits, in the last 5 days: I have stayed home all day (aside from time spent outdoors, but never closer than 6 feet from people who are not from my home).",Every day,903,156,0.172757475,556,132,0.237410072,4477,753,0.168192986,2051,576,0.280838615,-0.004564489,0.043428543
1333121,45879886,"In the past 2 weeks, how often have you been bothered by the following problem? Becoming easily annoyed or irritable.",Several days,791,313,0.395701643,525,232,0.441904762,1541,629,0.408176509,1008,488,0.484126984,0.012474866,0.042222222
903633,NA,How much time did you usually spend doing vigorous physical activities on one of those days (hours per day)?,NA,138,67,0.485507246,138,67,0.485507246,190,100,0.526315789,190,100,0.526315789,0.040808543,0.040808543
1333015,NA,"Not including yourself, how many other people live at home with you?",NA,903,811,0.898117386,556,510,0.917266187,4477,4199,0.937904847,2051,1963,0.9570941,0.039787461,0.039827913
1333120,45876662,Choose the answer that is true for you in the past month. I am unhappy being so withdrawn.,Never,791,344,0.434892541,525,257,0.48952381,1541,742,0.481505516,1008,533,0.528769841,0.046612975,0.039246031
1333311,1332783,"In your day-to-day life, how often did this happen to you during the past month? You are treated with less respect than other people are.",A few times a month,791,165,0.208596713,525,131,0.24952381,1541,363,0.235561324,1008,291,0.288690476,0.026964611,0.039166666
903642,903096,How much time did you usually spend sitting on one of those days (minutes per day)?,PMI: Skip,235,166,0.706382979,235,166,0.706382979,313,233,0.744408946,313,233,0.744408946,0.038025967,0.038025967
1333303,45884554,"In the past 7 days, I thought about COVID-19 when I didn't mean to.",Moderately,791,191,0.241466498,525,157,0.299047619,1541,384,0.249188838,1008,337,0.334325397,0.00772234,0.035277778
1332848,1332784,Please select the response that best reflects your behavior in the past month. I believe I can grow in positive ways by dealing with difficult situations.,Describes me very well,791,164,0.207332491,525,126,0.24,1541,363,0.235561324,1008,277,0.274801587,0.028228833,0.034801587
1333295,45884456,"In the past 7 days, I was aware that I still had a lot of feelings about COVID-19, but I didn't deal with them.",Quite a bit,791,48,0.06068268,525,42,0.08,1541,130,0.084360805,1008,115,0.114087302,0.023678125,0.034087302
1333301,1333306,"Thinking about your current social habits, in the last 5 days: I have been in close contact with someone who is in a risk group for COVID-19. This includes someone inside or outside of your household.",Most days (3-4 days),903,66,0.073089701,556,57,0.102517986,4477,338,0.075496985,2051,279,0.136031204,0.002407284,0.033513218
1333104,1332789,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Making time to relax,3062,353,0.115284128,556,262,0.471223022,14772,1693,0.114608719,2051,1035,0.504631887,-0.000675409,0.033408865
1333104,1333149,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Eating less food than usual,3062,45,0.014696277,556,42,0.075539568,14772,279,0.018887084,2051,223,0.10872745,0.004190807,0.033187882
1333292,45879397,"In the past 7 days, I felt watchful or on-guard.",Extremely,791,61,0.077117573,525,53,0.100952381,1541,157,0.101881895,1008,135,0.133928571,0.024764322,0.03297619
1332833,45881671,What is your current marital status?,Never married,791,104,0.13147914,525,74,0.140952381,1541,263,0.170668397,1008,175,0.173611111,0.039189257,0.03265873
1332832,45878245,Did your use include smoking prescription opioids?,No,39,38,0.974358974,31,30,0.967741935,81,80,0.987654321,65,65,1,0.013295347,0.032258065
1333104,1333130,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Connecting with others, including talking with people you trust about your concerns and how you are feeling",3062,321,0.104833442,556,239,0.429856115,14772,1537,0.104048199,2051,944,0.460263286,-0.000785243,0.030407171
1333291,1333134,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Had serious financial problems,1269,41,0.032308905,556,33,0.059352518,6392,253,0.039580726,2051,181,0.088249634,0.007271821,0.028897116
1332769,45878142,Who do you know who has died? Check all that apply.,Other,96,25,0.260416667,64,24,0.375,1485,435,0.292929293,775,313,0.403870968,0.032512626,0.028870968
1332847,1333240,"In the past month, have the following behaviors increased in your household? Select all that apply.",Snapping at or yelling at family members,1066,208,0.195121951,556,158,0.284172662,5273,1017,0.192869334,2051,636,0.310092638,-0.002252617,0.025919976
1332745,45878245,"Do you regularly take immunosuppressant medications (including steroids, methotrexate, biologic agents)?",No,791,684,0.864728192,525,463,0.881904762,1541,1379,0.894873459,1008,914,0.906746032,0.030145267,0.02484127
1332833,45883710,What is your current marital status?,Living with partner,791,40,0.0505689,525,30,0.057142857,1541,114,0.073977936,1008,82,0.081349206,0.023409036,0.024206349
1332739,1332784,"Please select the response that best reflects your behavior in the past month. Regardless of what happens to me, I believe I can control my reaction to it.",Describes me very well,791,134,0.169405815,525,105,0.2,1541,278,0.180402336,1008,225,0.223214286,0.010996521,0.023214286
1333328,1332783,"In your day-to-day life, how often did this happen to you during the past month? You are treated with less courtesy than other people are.",A few times a month,791,169,0.213653603,525,139,0.264761905,1541,354,0.22972096,1008,289,0.286706349,0.016067357,0.021944444
1333121,45878994,"In the past 2 weeks, how often have you been bothered by the following problem? Becoming easily annoyed or irritable.",More than half the days,791,67,0.084702908,525,61,0.116190476,1541,151,0.097988319,1008,139,0.137896825,0.013285411,0.021706349
1332835,45877172,"Choose the answer that best describes how you felt in the past month. In uncertain times, I usually expect the best.",Disagree a lot,791,33,0.041719343,525,27,0.051428571,1541,91,0.059052563,1008,73,0.072420635,0.01733322,0.020992064
1333104,1333122,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.",Using cannabis or marijuana,3062,21,0.006858263,556,17,0.03057554,14772,163,0.011034389,2051,105,0.051194539,0.004176126,0.020618999
1333300,45883772,"Now, thinking about the COVID-19 recommendations and mandates...How often in the past month are you doing the recommended pandemic hygiene?",All of the time,903,579,0.641196013,556,401,0.721223022,4477,2803,0.626088899,2051,1521,0.741589469,-0.015107114,0.020366447
1333296,45884554,"In the past 7 days, I tried not to think about COVID-19.",Moderately,791,173,0.218710493,525,155,0.295238095,1541,365,0.236859182,1008,318,0.31547619,0.018148689,0.020238095
1333292,45884456,"In the past 7 days, I felt watchful or on-guard.",Quite a bit,791,151,0.190897598,525,136,0.259047619,1541,345,0.223880597,1008,281,0.278769841,0.032982999,0.019722222
1310140,45878245,"Do you have a child(ren) that are currently enrolled in childcare centers, schools, or colleges?",No,112,82,0.732142857,83,61,0.734939759,2936,2211,0.753065395,1689,1274,0.754292481,0.020922538,0.019352722
1332744,45878245,Are you currently on chemotherapy or immunotherapy?,No,791,730,0.922882427,525,489,0.931428571,1541,1452,0.942245295,1008,958,0.950396825,0.019362868,0.018968254
1332741,1333028,Please select the response that best reflects your behavior in the past month. I actively look for ways to replace the losses I encounter in life.,Describes me,791,293,0.370417193,525,233,0.443809524,1541,606,0.393251136,1008,466,0.462301587,0.022833943,0.018492063
1332739,1333028,"Please select the response that best reflects your behavior in the past month. Regardless of what happens to me, I believe I can control my reaction to it.",Describes me,791,354,0.447534766,525,269,0.512380952,1541,702,0.455548345,1008,535,0.530753968,0.008013579,0.018373016
1332750,1332850,Choose the answer that best describes how you felt in the past month. To what extent do you feel your life to be meaningful?,An extreme amount,791,91,0.115044248,525,79,0.15047619,1541,201,0.130434783,1008,170,0.168650794,0.015390535,0.018174604
1333119,1333003,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",A lot less than normal,903,609,0.674418605,556,431,0.775179856,4477,3060,0.683493411,2051,1627,0.793271575,0.009074806,0.018091719
1332866,45884456,"In the past 7 days, other things kept making me think about COVID-19.",Quite a bit,791,144,0.18204804,525,126,0.24,1541,306,0.198572356,1008,260,0.257936508,0.016524316,0.017936508
1332741,1332784,Please select the response that best reflects your behavior in the past month. I actively look for ways to replace the losses I encounter in life.,Describes me very well,791,96,0.12136536,525,76,0.144761905,1541,196,0.127190136,1008,164,0.162698413,0.005824776,0.017936508
1333294,1333141,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.",Did not have enough money to pay for medications,1001,29,0.028971029,556,24,0.043165468,4954,167,0.033710133,2051,122,0.059483179,0.004739104,0.016317711
1333011,45880857,"In the past month: Did you smoke tobacco/nicotine (including cigarettes, cigar, cigarillos, pipes, hookah) every day, some days, or not at all?","No, never",791,588,0.743362832,525,403,0.767619048,1541,1162,0.754055808,1008,790,0.783730159,0.010692976,0.016111111
1333289,45878245,"Think about the time you spent walking in the last 7 days. During the last 7 days, did you walk for at least 10 minutes at a time?",No,791,160,0.202275601,525,128,0.243809524,1541,329,0.213497729,1008,261,0.258928571,0.011222128,0.015119047
1333294,1333223,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.",Not enough money to pay rent,1001,54,0.053946054,556,50,0.089928058,4954,298,0.060153411,2051,215,0.104826914,0.006207357,0.014898856
1333296,45881667,"In the past 7 days, I tried not to think about COVID-19.",A little bit,791,243,0.307206068,525,200,0.380952381,1541,474,0.307592472,1008,399,0.395833333,0.000386404,0.014880952
1333221,45876672,Choose the answer that is true for you in the past month. I am an outgoing person.,Rarely,791,97,0.122629583,525,72,0.137142857,1541,196,0.127190136,1008,153,0.151785714,0.004560553,0.014642857
1333292,45883172,"In the past 7 days, I felt watchful or on-guard.",Not at all,791,103,0.130214918,525,81,0.154285714,1541,198,0.128487995,1008,170,0.168650794,-0.001726923,0.01436508
1332835,45876909,"Choose the answer that best describes how you felt in the past month. In uncertain times, I usually expect the best.",Disagree a little,791,94,0.118836915,525,79,0.15047619,1541,195,0.126541207,1008,166,0.16468254,0.007704292,0.01420635
1333293,1332783,"In your day-to-day life, how often did this happen to you during the past month? You are threatened or harassed.",A few times a month,791,37,0.046776233,525,31,0.059047619,1541,88,0.057105775,1008,72,0.071428571,0.010329542,0.012380952
1332767,45881677,"In the past month: Did someone in your home smoke tobacco/nicotine (including cigarettes, cigar, cigarillos, pipes, hookah) every day, some days, or not at all?",Every day,791,59,0.074589128,525,43,0.081904762,1541,123,0.0798183,1008,95,0.094246032,0.005229172,0.01234127
1332749,1333116,"Choose the answer that best describes how you felt in the past month. In general, how happy are you?",Moderately happy,791,393,0.496839444,525,291,0.554285714,1541,762,0.494484101,1008,571,0.566468254,-0.002355343,0.01218254
1310133,36309715,"If you know it, what is your blood group?",Group O,112,34,0.303571429,83,25,0.301204819,2936,883,0.300749319,1689,529,0.313203079,-0.00282211,0.01199826
903635,903096,How much time did you usually spend walking on one of those days (hours per day)?,PMI: Skip,305,117,0.383606557,305,117,0.383606557,387,153,0.395348837,387,153,0.395348837,0.01174228,0.01174228
1332847,1333233,"In the past month, have the following behaviors increased in your household? Select all that apply.",Interpersonal conflict with friends or coworkers,1066,82,0.076923077,556,72,0.129496403,5273,386,0.07320311,2051,289,0.140906875,-0.003719967,0.011410472
1332750,45876949,Choose the answer that best describes how you felt in the past month. To what extent do you feel your life to be meaningful?,A little,791,96,0.12136536,525,79,0.15047619,1541,197,0.127839066,1008,163,0.161706349,0.006473706,0.011230159
1333300,45882528,"Now, thinking about the COVID-19 recommendations and mandates...How often in the past month are you doing the recommended pandemic hygiene?",Sometimes,903,30,0.033222591,556,27,0.048561151,4477,170,0.037971856,2051,121,0.058995612,0.004749265,0.010434461
1333104,1333226,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Taking care of your body, such as taking deep breaths, stretching, or meditating",3062,343,0.112018289,556,244,0.438848921,14772,1580,0.106959112,2051,921,0.449049244,-0.005059177,0.010200323
1333017,903096,"In the past month, have you used any of the following drugs? Select all that apply.",PMI: Skip,834,41,0.049160671,525,38,0.072380952,1626,89,0.054735547,1008,83,0.08234127,0.005574876,0.009960318
1333303,45884456,"In the past 7 days, I thought about COVID-19 when I didn't mean to.",Quite a bit,791,147,0.185840708,525,137,0.260952381,1541,326,0.211550941,1008,273,0.270833333,0.025710233,0.009880952
1333295,45884554,"In the past 7 days, I was aware that I still had a lot of feelings about COVID-19, but I didn't deal with them.",Moderately,791,111,0.140328698,525,94,0.179047619,1541,217,0.140817651,1008,190,0.188492063,0.000488953,0.009444444
1332847,1333126,"In the past month, have the following behaviors increased in your household? Select all that apply.",Interpersonal conflict with family members or loved ones,1066,205,0.192307692,556,170,0.305755396,5273,974,0.184714584,2051,646,0.314968308,-0.007593108,0.009212912
1333294,1333146,"In the past month, have you experienced the following as a result of COVID-19? Select all that apply.",Not enough money to pay for food,1001,66,0.065934066,556,60,0.107913669,4954,317,0.063988696,2051,240,0.11701609,-0.00194537,0.009102421
1332866,45879397,"In the past 7 days, other things kept making me think about COVID-19.",Extremely,791,58,0.073324905,525,52,0.099047619,1541,124,0.080467229,1008,108,0.107142857,0.007142324,0.008095238
1333291,1332771,"In the past month, how has the COVID-19 outbreak affected you? Please select all that apply.",Worked reduced hours,1269,102,0.080378251,556,88,0.158273381,6392,499,0.078066333,2051,341,0.166260361,-0.002311918,0.00798698
1333102,45876385,"In the past month, have recommendations for socially distancing caused stress for you?",Somewhat,903,260,0.287929125,556,203,0.365107914,4477,1082,0.241679696,2051,764,0.372501219,-0.046249429,0.007393305
1333104,1333340,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Engaging in healthy behaviors like trying to eat healthy, well-balanced meals, exercising regularly, getting plenty of sleep, or avoiding alcohol and drugs",3062,435,0.14206401,556,308,0.553956835,14772,2049,0.138708367,2051,1151,0.561189664,-0.003355643,0.007232829
1333104,1333142,"In the past month, to cope with social distancing and isolation, are you doing any of the following? Select all that apply.","Increasing watching, reading, or listening to news stories, including social media",3062,245,0.080013063,556,198,0.356115108,14772,1162,0.078662334,2051,745,0.363237445,-0.001350729,0.007122337
1333024,1332777,Please select the response that best reflects your behavior in the past month. I look for creative ways to alter difficult situations.,Does not describe me,791,55,0.069532238,525,45,0.085714286,1541,107,0.069435432,1008,93,0.092261905,-9.6806E-05,0.006547619
1332735,1333306,"Thinking about your current social habits, in the last 5 days: I have attended social gatherings outside my home of LESS than 10 people.",Most days (3-4 days),887,34,0.038331454,552,31,0.05615942,4043,136,0.033638387,1937,121,0.062467734,-0.004693067,0.006308314
1333295,45883172,"In the past 7 days, I was aware that I still had a lot of feelings about COVID-19, but I didn't deal with them.",Not at all,791,363,0.458912769,525,264,0.502857143,1541,693,0.449707982,1008,513,0.508928571,-0.009204787,0.006071428
1333119,1333025,"Thinking about these activities in the last 5 days, my social interaction with people outside my home was.",More than normal,903,25,0.027685493,556,23,0.041366906,4477,110,0.024570025,2051,97,0.047294003,-0.003115468,0.005927097
1333017,1333169,"In the past month, have you used any of the following drugs? Select all that apply.","Prescription opioids (for example, fentanyl, oxycodone [OxyContin, Percocet], hydrocodone [Vicodin], methadone, buprenorphine, etc)",834,39,0.04676259,525,31,0.059047619,1626,81,0.049815498,1008,65,0.064484127,0.003052908,0.005436508
1333017,45878582,"In the past month, have you used any of the following drugs? Select all that apply.",None,834,579,0.694244604,525,405,0.771428571,1626,1129,0.694341943,1008,783,0.776785714,9.7339E-05,0.005357143
1310140,45877994,"Do you have a child(ren) that are currently enrolled in childcare centers, schools, or colleges?",Yes,112,29,0.258928571,83,22,0.265060241,2936,705,0.240122616,1689,456,0.269982238,-0.018805955,0.004921997
1332749,1333079,"Choose the answer that best describes how you felt in the past month. In general, how happy are you?",Moderately unhappy,791,116,0.14664981,525,99,0.188571429,1541,235,0.152498378,1008,195,0.193452381,0.005848568,0.004880952
1333024,1333125,Please select the response that best reflects your behavior in the past month. I look for creative ways to alter difficult situations.,Does not describe me at all,791,39,0.049304678,525,35,0.066666667,1541,81,0.052563271,1008,72,0.071428571,0.003258593,0.004761904
